Text,Tags,Attachment
This case is dated from [DATE] and the payment was made on [DATE].,#ARPD,
"We write further to the compensation claim of your client, [NAME] and [NAME].
Having investigated the case, we confirm that disruption to your client's flight was caused by non-extraordinary circumstances.
As for this specific situation, the compensation is classified under category B- € 400, per passenger, a total of 2 passengers.
Payment of €800 was raised on [DATE] by transfer to your bank account and should be with you in the next 30 working days.
In light of the above we consider that all amounts have been settled in full satisfaction of our liability to your client in accordance with EC Regulation 261/2004 or otherwise.
We trust that this letter has adequately addressed your concerns and we therefore consider this matter as closed.",#ARSE,
"Referring to earlier correspondence.
We kindly inform you, payment of the above mentioned clam was made to
your nominated account on the [DATE]. Payment was made with reference [REF].
We hope this information has been of assistance.",#ARSE,
"Referring to earlier correspondence.
As we have already finalised your payment we are unable to do any additional payments and therefore consider this case closed.",#ARSE,
"Without admission of liability and on commercial grounds only, we can confirm that we are prepared offer the total sum of £599.20 in full and final settlement of the above matter comprising:
- £444.20 in respect of compensation; and
- £155.00 in respect of fixed costs and disbursements
Acceptance of our offer is subject to the following conditions:
1.            That your client agrees to stay this claim for a period of 14 days to allow payment of the above sums to be raised
2.            That your client is at liberty to seek further remedy in the event payment is not received by your firm within 21 days
For the avoidance of doubt, we will not be responsible for the costs associated with entering judgment and will seek reimbursement of any costs and disbursements associated with setting aside judgments entered in discordance with the above terms.
Should you accept our offer, then please notify us accordingly once payment has been received.  We invite you to file a Notice of Discontinuance at Court, serving a copy of the same on us.",#ARSE,
We are agreeable to your email below. Payment has now been requested.,#ARSE,
Our accounts department have confirmed that a bank transfer in the amount of £360.31 was processed and paid in relation to this matter on the [DATE]. I hope with the information provided you are now able to trace this payment and the matter has been clarified for you.,#ARSE,
"We write in response to your letter dated [DATE], in respect a claim for compensation pursuant to Regulation (EC) No 261/2004 (the Regulation) with the above-mentioned references, on behalf of [NAME].
After investigation of this case, please find our answer attached.
We trust our answer will adequately address your concerns.",#ARRE,x
"Unfortunately we cannot find a claim relating to the above reference.
Could you please provide us with the Courts claim number so we may investigate this matter.",#ARRE,
"I have reviewed this matter and have received confirmation that unfortunately only £50 of the agreed £80 was paid as part of a bulk payment made under the reference [REF].
I can confirm that the additional payment of £30 has now been raised.",#ARSE,
"We can confirm payment in the sum of £588.12 has been processed in this matter, and should be received by you in due course. Receipt of payment is attached for your records. Please be aware that payment in this matter has been made by [ORG] directly, on behalf our client.
Furthermore, the reference number used for the payment is [REF].
We would be grateful if you could ensure that a Notice of Discontinuance is filed with the Court as soon as payment is received to your account.",#ARSE,
"Without admission of liability and on commercial grounds only, we can
confirm that we are prepared offer the total sum of £850.86 in full and
final settlement of the above matter comprising:
- £710.86 in respect of compensation; and
- £140.00 in respect of fixed costs and disbursements
Acceptance of our offer is subject to the following conditions
1.            That your client agrees to stay this claim for a period
of 14 days to allow payment of the above sums to be raised
2.            That your client is at liberty to seek further remedy in
the event payment is not received by your firm within 21 days
Should you accept our offer, then please notify us accordingly once
payment has been received.  We invite you to file a Notice of
Discontinuance at Court, serving a copy of the same on us.",#ARSE,
We write further to our email below and would be grateful for a response.,#ARSE,x
"WITHOUT PREJUDICE AS TO LIABILITY
We have our client’s instructions to offer £3,183 in full and final settlement of your clients’ claim for compensation and £285 in full and final settlement of your clients’ claim for costs.",#ARSE,
"I should be grateful if you would confirm if you would agree to the above hearing being on papers only when it is re-listed.
I am required to re-send to the Court some of the attachments which were part of [ORG]’s Disclosure, and I could confirm at the same time as re-sending these documents that the parties agree to a paper only hearing, if I hear back from you with confirmation that you agree.",#ARIF,
"We have instructed our bank to remit on the [DATE]
by bank transfer the amount of 599,00 GBP on bank account
[REF] according following specification.
599,00 GBP
Accounts Payable
[ADDRESS]
These contact details for both the UK and Ireland",#ARSE,
Thank you for your email. We can confirm that we have requested the judgment monies from our Client and will transfer the funds as soon as possible upon receipt.,#ARSE,
Pls be advised that the outstanding £222.39 will be authorised in due course.,#ARSE,
"We have received a judgment by letter from the UK County Court on the above referenced matter.
Therefore, I would like to inform you that the amount of 930.01 GBP, has been processed to your bank account under the following reference: [REF], in accordance with the Regulation (EC) No 261/2004 of the European Parliament and of the Council of 11 February 2004 establishing common rules on compensation and assistance to passengers in the event of denied boarding and of cancellation or long delay of flights.
Please bear in mind that it may take up to 14 business days to receive the payment. However, if the amount does not reach your account in the quoted time frame, please be so kind to inform us.
We are looking forward to the Notice of Discontinuance.
Should you need any further assistance, I do remain at your disposal.",#ARSE,
"We are currently awaiting further funding from the client into our specified judgment account. In the interim, we have requested that this payment be made by the client in order to expedite the payment.
We will provide a further update once confirmed this has been paid. We would be grateful if you could refrain from enforcing this judgment as we confirm payment will be made.",#ARIF,
"I note this claim also forms part of the statutory demands which you’ll hopefully have been involved in and saw [NAME]’s reply to myself and [NAME] yesterday. I’m about to undertake a review of those, and this case is seemingly one we’d come back to you on for sight of the judgment in our exchanges relating to the statutory demand. It was also one of the cases that was initially missing in the original correspondence we received and replied to.
Can you confirm no enforcement action will be taken on this case, pending the reply to the reply to our statutory demand, which gives us 14 days.",#ARIF,
I have just noticed the order attached to your email does not relate to [REF]. I have forwarded your email onto my colleague in cse she has not received this order directly.,#ARIF,
"Our client has confirmed that they intend to satisfy the judgment.
Please allow 10 working days for payment.",#ARSE,
"We write on behalf of our client [ORG], the Defendant in the above matter.
At this stage of proceedings, our client would like to make the following offer in full and final settlement of your client’s claim and conditional on the filing of a Notice of Discontinuance:
Compensation  Court Fee  Costs  Total
£366.00  £70.00  £70.00  £506.00
We look forward to hearing from you.",#ARSE,
"This can be agreed.
Payment has been raised in the total sum of £1,775.44 in full and final settlement.
Kindly inform the Court of the same.",#ARSE,
I can confirm this is agreeable.,#ARSE,
"We have received a judgment by letter from the UK County Court on the above referenced matter.
Therefore, I would like to inform you that the amount of 735.64 GBP, has been processed to your bank account under the following reference: [REF], in accordance with the Regulation (EC) No 261/2004 of the European Parliament and of the Council of 11 February 2004 establishing common rules on compensation and assistance to passengers in the event of denied boarding and of cancellation or long delay of flights.
Please bear in mind that it may take up to 14 business days to receive the payment. However, if the amount does not reach your account in the quoted time frame, please be so kind to inform us.
We are looking forward to the Notice of Discontinuance.
Should you need any further assistance, I do remain at your disposal.",#ARSE,
"We act for the Defendant in the above matter and have taken instructions from our client who would like to make an attempt to settle this claim.
In this regard, settlement refers and applies to:
   1.      [NAME]; and
   2.      [NAME]
      (together, the Claimants)
The offer is made on a strictly confidential, without prejudice, non-admission of liability basis. The flight in question was [REF], from [LOC] to [LOC] on [DATE] (the Flight), which was cancelled. On this basis, and in order to bring this matter to an end, our client proposes settlement as follows:
Principal Sum: €1,200.00 (£1,075.18), that is £537.59 per Claimant as per the Claim Form
Court fee: £80.00
Solicitors’ fixed costs: £80.00
Total = £1,235.18
Please note that the contents of the email and settlement of this matter is strictly confidential to the parties and the above offer is made in full and final settlement of any and all claims howsoever arising under the Regulation in relation to the Flight and the above named Claimants.
We look forward to hearing from you and, should your clients be in agreement, we shall request that the funds are transferred forthwith so that the matter may be concluded.",#ARSE,
"We act for the Defendant in the above name matter, in which you act for the Claimants.
Please find attached an order for hearing on [DATE]. The deadline for Witness Statements and Submission is 14 days from the date of the order, which would reach the next working day of [DATE]. As you will see from the stamp on the order this was received on [DATE].
Therefore, given the delay in receiving the order and the devastating impact of the pandemic, we would be grateful if you could please confirm your agreement to an extension of 28 days for Witness Statements and Submissions to be filed and served. Therefore the extended deadline would be [DATE]. We do not believe this would be prejudicial to the Claimant due to the hearing take place in [DATE].",#ARIF,
"Payment to the value of £2,154.00 has now been requested.",#ARSE,
"This can be agreed. Payment has been raised in the total sum of £331.95 in full and final settlement.
Kindly inform the Court of the same.",#ARSE,
"The amount being queried here relates to your requested amount in the recent statutory demand. Can you confirm please.
[NAME]
[ADDRESS]",#ARIF,
Please see the email in attach.,#ARIF,
"Please note that payment has been raised today for the total amount of £3054 and should be credited to your account within 10 business days.
Please confirm when the funds have been received.",#ARSE,
"We continue to act on behalf of [ORG] in this legal claim.
We note that this is a claim for the delay of flight [REF] travelling from [LOC] to [LOC] on [DATE]. Please note that the Claimant has already issued a claim against our Client for this flight with [ORG] back in [DATE], I have attached the Claim Form for your reference.
Payment, in the total sum of £307.50, was made to [ORG] on [DATE]. If the Claimant has not received this payment we suggest they liaise with [ORG].
In light of the above, we look forward to receiving a Notice of Discontinuance at your earliest convenience.",#ARPD,
"Thank you for your email however, irrespective of the pre-action stance, we have a right to defend the claim and are confident in doing so. We are under no obligation to agree to discontinue and should your client wish to, that is entirely up to them.
We trust this clarifies our position.",#ARRE,
